movie_title,genres,budget,gross,imdb_score,plot_keywords,sentiment,sentiment_label
Avatar ,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",237000000.0,760505847.0,7.9,avatar|future|marine|native|paraplegic,0.0,Neutral
Pirates of the Caribbean: At World's End ,"['Action', 'Adventure', 'Fantasy']",300000000.0,309404152.0,7.1,goddess|marriage ceremony|marriage proposal|pirate|singapore,0.0,Neutral
Spectre ,"['Action', 'Adventure', 'Thriller']",245000000.0,200074175.0,6.8,bomb|espionage|sequel|spy|terrorist,0.0,Neutral
The Dark Knight Rises ,"['Action', 'Thriller']",250000000.0,448130642.0,8.5,deception|imprisonment|lawlessness|police officer|terrorist plot,0.0,Neutral
John Carter ,"['Action', 'Adventure', 'Sci-Fi']",263700000.0,73058679.0,6.6,alien|american civil war|male nipple|mars|princess,0.0,Neutral
Spider-Man 3 ,"['Action', 'Adventure', 'Romance']",258000000.0,336530303.0,6.2,sandman|spider man|symbiote|venom|villain,0.0,Neutral
Tangled ,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",260000000.0,200807262.0,7.8,17th century|based on fairy tale|disney|flower|tower,0.0,Neutral
Avengers: Age of Ultron ,"['Action', 'Adventure', 'Sci-Fi']",250000000.0,458991599.0,7.5,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,-0.12,Negative
Harry Potter and the Half-Blood Prince ,"['Adventure', 'Family', 'Fantasy', 'Mystery']",250000000.0,301956980.0,7.5,blood|book|love|potion|professor,0.0,Neutral
Batman v Superman: Dawn of Justice ,"['Action', 'Adventure', 'Sci-Fi']",250000000.0,330249062.0,6.9,based on comic book|batman|sequel to a reboot|superhero|superman,0.25,Positive
Superman Returns ,"['Action', 'Adventure', 'Sci-Fi']",209000000.0,200069408.0,6.1,crystal|epic|lex luthor|lois lane|return to earth,0.0,Neutral
Quantum of Solace ,"['Action', 'Adventure']",200000000.0,168368427.0,6.7,action hero|attempted rape|bond girl|official james bond series|revenge,0.1,Positive
Pirates of the Caribbean: Dead Man's Chest ,"['Action', 'Adventure', 'Fantasy']",225000000.0,423032628.0,7.3,box office hit|giant squid|heart|liar's dice|monster,0.0,Neutral
The Lone Ranger ,"['Action', 'Adventure', 'Western']",215000000.0,89289910.0,6.5,horse|outlaw|texas|texas ranger|train,0.0,Neutral
Man of Steel ,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",225000000.0,291021565.0,7.2,based on comic book|british actor playing american character|final battle|origin of hero|reboot,0.12,Positive
The Chronicles of Narnia: Prince Caspian ,"['Action', 'Adventure', 'Family', 'Fantasy']",225000000.0,141614023.0,6.6,brother brother relationship|brother sister relationship|good versus evil|king|narnia,0.0,Neutral
The Avengers ,"['Action', 'Adventure', 'Sci-Fi']",220000000.0,623279547.0,8.1,alien invasion|assassin|battle|iron man|soldier,-0.25,Negative
Pirates of the Caribbean: On Stranger Tides ,"['Action', 'Adventure', 'Fantasy']",250000000.0,241063875.0,6.7,blackbeard|captain|pirate|revenge|soldier,0.0,Neutral
Men in Black 3 ,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",225000000.0,179020854.0,6.8,alien|criminal|m.i.b.|maximum security prison|prison,0.0,Neutral
The Hobbit: The Battle of the Five Armies ,"['Adventure', 'Fantasy']",250000000.0,255108370.0,7.5,army|elf|hobbit|middle earth|orc,0.0,Neutral
The Amazing Spider-Man ,"['Action', 'Adventure', 'Fantasy']",230000000.0,262030663.0,7.0,lizard|outcast|spider|spider man|teenager,0.0,Neutral
Robin Hood ,"['Action', 'Adventure', 'Drama', 'History']",200000000.0,105219735.0,6.7,1190s|archer|england|king of england|robin hood,0.0,Neutral
The Hobbit: The Desolation of Smaug ,"['Adventure', 'Fantasy']",225000000.0,258355354.0,7.9,dwarf|elf|lake town|mountain|sword and sorcery,0.0,Neutral
The Golden Compass ,"['Adventure', 'Family', 'Fantasy']",180000000.0,70083519.0,6.1,children|epic|friend|girl|quest,0.0,Neutral
King Kong ,"['Action', 'Adventure', 'Drama', 'Romance']",207000000.0,218051260.0,7.2,animal name in title|ape abducts a woman|gorilla|island|king kong,0.0,Neutral
Titanic ,"['Drama', 'Romance']",200000000.0,658672302.0,7.7,artist|love|ship|titanic|wet,0.0,Neutral
Captain America: Civil War ,"['Action', 'Adventure', 'Sci-Fi']",250000000.0,407197282.0,8.2,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,0.02,Positive
Battleship ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",209000000.0,65173160.0,5.9,box office flop|hawaii|naval|oahu hawaii|ship,0.0,Neutral
Jurassic World ,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",150000000.0,652177271.0,7.0,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,0.0,Neutral
Skyfall ,"['Action', 'Adventure', 'Thriller']",200000000.0,304360277.0,7.8,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,0.0,Neutral
Spider-Man 2 ,"['Action', 'Adventure', 'Fantasy', 'Romance']",200000000.0,373377893.0,7.3,death|doctor|scientist|super villain|tentacle,0.0,Neutral
Iron Man 3 ,"['Action', 'Adventure', 'Sci-Fi']",200000000.0,408992272.0,7.2,armor|explosion|human bomb|missile attack|terrorist,0.0,Neutral
Alice in Wonderland ,"['Adventure', 'Family', 'Fantasy']",200000000.0,334185206.0,6.5,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,0.0,Neutral
X-Men: The Last Stand ,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']",210000000.0,234360014.0,6.8,battle|mutant|outrage|walking through a wall|x men,0.0,Neutral
Monsters University ,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",200000000.0,268488329.0,7.3,cheating|fraternity|monster|singing in a car|university,0.0,Neutral
